Campaign_ID,Campaign_Type,Target_Audience,Duration,Channel_Used,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Customer_Segment,Date
NY-CMP-1000,Social Media,College Students,21,"WhatsApp, YouTube",57804,6156,3616,2355,1867515,111.03,6.14,College Students,29-04-2025
NY-CMP-1001,Paid Ads,Tier 2 City Customers,18,YouTube,91801,3321,1971,1357,1046247,180.83,3.26,College Students,6/4/2025
NY-CMP-1002,Influencer,Youth,23,"WhatsApp, Google, YouTube",15536,2182,952,755,197055,90.6,1.88,College Students,14-01-2025
NY-CMP-1003,Email,Working Women,18,"YouTube, Facebook, Instagram",88114,8413,2231,947,376906,249.07,0.6,College Students,4/6/2025
NY-CMP-1004,Paid Ads,College Students,10,"Facebook, Instagram",96871,3743,2060,1258,518296,228.6,0.8,Tier 2 City Customers,29-12-2024
NY-CMP-1005,Influencer,Youth,26,"Email, Instagram",83919,7497,2061,1555,877020,137.79,3.09,Premium Shoppers,23-09-2024
NY-CMP-1006,Paid Ads,College Students,21,"YouTube, Google, WhatsApp",82267,5534,1873,1386,633402,210.17,1.17,Youth,1/9/2024
NY-CMP-1007,Social Media,Working Women,6,"Instagram, WhatsApp, Google",32482,2665,1488,925,326525,147.29,1.4,Tier 2 City Customers,31-05-2025
NY-CMP-1008,Influencer,Premium Shoppers,27,"Facebook, WhatsApp, Email",73813,8680,5031,2551,1058665,87.74,3.73,Tier 2 City Customers,24-03-2025
NY-CMP-1009,Social Media,College Students,11,Email,88895,6284,1600,858,603174,269.82,1.61,Youth,29-04-2025
NY-CMP-1010,SEO,Working Women,5,"Google, Instagram",59141,1556,580,221,121550,357.66,0.54,Working Women,26-10-2024
NY-CMP-1011,SEO,Youth,7,"Facebook, YouTube",39696,5623,1136,661,286874,163.52,1.65,Premium Shoppers,21-12-2024
NY-CMP-1012,Email,Youth,29,"Email, Instagram, Facebook",20080,570,258,183,128466,462.62,0.52,Working Women,30-09-2024
NY-CMP-1013,SEO,Youth,14,Email,96303,3749,1785,940,441800,282.05,0.67,Premium Shoppers,29-10-2024
NY-CMP-1014,Paid Ads,Premium Shoppers,5,Instagram,38072,2591,1542,769,240697,369.75,-0.15,College Students,6/7/2024
NY-CMP-1015,Paid Ads,Working Women,23,"Facebook, Instagram, Email",28714,1511,441,158,33654,1648.61,-0.87,Premium Shoppers,6/10/2024
NY-CMP-1016,SEO,College Students,27,WhatsApp,73474,4886,2344,1055,263750,272.28,-0.08,College Students,18-12-2024
NY-CMP-1017,Paid Ads,Premium Shoppers,28,"Google, YouTube, Instagram",57060,1659,928,346,187186,448.86,0.21,Premium Shoppers,19-04-2025
NY-CMP-1018,SEO,Tier 2 City Customers,7,WhatsApp,49784,1510,594,440,261800,115.42,4.16,Working Women,18-01-2025
NY-CMP-1019,Paid Ads,College Students,21,Instagram,55317,7847,1736,1079,715377,174.65,2.8,Tier 2 City Customers,16-02-2025
NY-CMP-1020,Paid Ads,Premium Shoppers,27,"Google, YouTube",10678,1217,524,163,111981,1124.19,-0.39,Youth,27-08-2024
NY-CMP-1021,SEO,Working Women,22,"Instagram, YouTube, Google",27990,3508,761,385,155540,516.25,-0.22,Youth,30-01-2025
NY-CMP-1022,Email,Working Women,9,"WhatsApp, YouTube",74423,3139,1622,1149,629652,89.52,5.12,Premium Shoppers,3/2/2025
NY-CMP-1023,SEO,Working Women,9,"Google, Email, WhatsApp",77708,4985,1363,916,632040,120.36,4.73,Tier 2 City Customers,7/5/2025
